"Domain","URL","Branch","Agency","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"justthinktwice.gov","https://www.justthinktwice.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"juvenilecouncil.gov","http://juvenilecouncil.gov","executive","Department of Justice","No","No","","","",""
"jwod.gov","http://jwod.gov","executive","Comm for People Who Are Blind/Severly Disabled","No","No","","","",""
"kids.gov","http://www.kids.gov","executive","General Services Administration","Yes","Yes","No","No","",""
"klamathrestoration.gov","https://klamathrestoration.gov","executive","Department of the Interior","No","Yes","Yes","Yes","Yes",""
"knowthefactsfirst.gov","http://www.knowthefactsfirst.gov","executive","Department of Health And Human Services","Yes","No","","","",""
"labor.gov","http://www.labor.gov","executive","Department of Labor","Yes","No","","","",""
"lacoast.gov","http://www.lacoast.gov","executive","Department of the Interior","No","Yes","No","No","",""
"landfire.gov","http://landfire.gov","executive","Department of the Interior","No","No","","","",""
"landimaging.gov","http://www.landimaging.gov","executive","Department of the Interior","No","No","","","",""
"lanl.gov","http://lanl.gov","executive","Department of Energy","No","Yes","No","No","",""
"latinofarmerclaims.gov","https://www.latinofarmerclaims.gov","executive","Department of Agriculture","No","Yes","Yes","No","",""
"law.gov","http://www.law.gov","legislative","Library of Congress","Yes","No","","","",""
"lbl.gov","http://www.lbl.gov","executive","Department of Energy","No","Yes","No","No","",""
"lca.gov","https://lca.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"lcacommons.gov","https://www.lcacommons.gov","executive","Department of Agriculture","No","Yes","Yes","Yes","",""
"lcrmscp.gov","http://www.lcrmscp.gov","executive","Department of the Interior","No","No","","","",""
"learnandserve.gov","http://www.learnandserve.gov","executive","Corporation for National & Community Service","Yes","No","","","",""
"learnatf.gov","https://www.learnatf.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"learndoj.gov","https://www.learndoj.gov","executive","Department of Justice","No","Yes","Yes","Yes","",""
"learnperformance.gov","http://www.learnperformance.gov","executive","General Services Administration","Yes","Yes","Yes","No","",""
"lep.gov","https://www.lep.gov","executive","Department of Justice","No","Yes","Yes","Yes","Ready",""
"letgirlslearn.gov","https://letgirlslearn.gov","executive","U.S. Agency for International Development","No","Yes","Yes","No","",""
"letsmove.gov","http://www.letsmove.gov","executive","Executive Office of the President","No","No","","","",""
"libraryofcongress.gov","http://www.libraryofcongress.gov","legislative","Library of Congress","Yes","No","","","",""
"lifeline.gov","http://www.lifeline.gov","executive","Federal Communications Commission","Yes","No","","","",""
"lis.gov","http://www.lis.gov","legislative","Library of Congress","Yes","No","","","",""
"listo.gov","https://www.listo.gov","executive","Department of Homeland Security","Yes","Yes","Yes","No","",""
"literacy.gov","http://www.literacy.gov","legislative","Library of Congress","Yes","No","","","",""
"llis.gov","https://www.llis.gov","executive","Department of Homeland Security","Yes","Yes","Yes","No","",""
"llnl.gov","https://www.llnl.gov","executive","Department of Energy","No","Yes","Yes","No","",""
"lmrcouncil.gov","https://lmrcouncil.gov","executive","Office of Personnel Management","No","Yes","Yes","Yes","",""
"lmvsci.gov","https://lmvsci.gov","executive","Department of the Interior","No","Yes","Yes","Yes","",""
"loc.gov","https://loc.gov","legislative","Library of Congress","No","Yes","Yes","No","",""
"locatorplus.gov","http://locatorplus.gov","executive","Department of Health And Human Services","No","No","","","",""
"loctps.gov","http://www.loctps.gov","legislative","Library of Congress","Yes","No","","","",""
"login.gov","https://www.login.gov","executive","General Services Administration","Yes","Yes","Yes","Yes","Yes",""
"longtermcare.gov","http://longtermcare.gov","executive","Department of Health And Human Services","No","No","","","",""
"lps.gov","http://www.lps.gov","executive","National Security Agency","No","No","","","",""
"lsc.gov","http://lsc.gov","executive","Legal Services Corporation","No","No","","","",""
"macpac.gov","https://www.macpac.gov","executive","Medicaid and CHIP Payment and Access Commission","No","Yes","Yes","No","",""
"mail.gov","http://www.mail.gov","executive","U. S. Postal Service","Yes","No","","","",""
"majorityleader.gov","http://www.majorityleader.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","",""
"majoritywhip.gov","http://www.majoritywhip.gov","legislative","The Legislative Branch (Congress)","No","Yes","No","No","",""
"makinghomeaffordable.gov","http://www.makinghomeaffordable.gov","executive","Department of the Treasury","No","Yes","No","No","",""
"malwareinvestigator.gov","http://www.malwareinvestigator.gov","executive","Department of Justice","No","Yes","No","No","",""
"manufacturing.gov","https://www.manufacturing.gov","executive","Department of Commerce","No","Yes","Yes","Yes","",""
"marine.gov","http://www.marine.gov","executive","Department of the Interior","No","No","","","",""
"marinecadastre.gov","http://marinecadastre.gov","executive","Department of Commerce","No","Yes","No","No","",""
"max.gov","http://www.max.gov","executive","Executive Office of the President","No","Yes","No","Yes","Yes",""
"mbda.gov","http://www.mbda.gov","executive","Department of Commerce","No","No","","","",""
